,bin_serial,Latitudine,Longitudine,counts
2598,4318007846,45.51547139894928,9.204896912537038,1
2183,4118007165,45.48954162548493,9.20110833795593,4
1788,4118006530,45.49139462646265,9.205084178534893,4
3077,5018009813,45.50346260172154,9.246132765610467,4
2747,4318008055,45.48257271131956,9.191300931599473,5
2959,5018009571,45.491168940355074,9.22612242585808,6
1025,1419015690,45.50939685045845,9.267616573839176,6
1101,3718005496,45.47742841657715,9.205091074832694,6
1293,3718005795,45.486161095089024,9.215013481443409,8
2749,4318008059,45.49473348865012,9.1993772328492,10
431,219011891,45.475312509879295,9.218047556150054,10
2498,4318007727,45.51241296095049,9.22473896206634,12
2663,4318007951,45.51654321810607,9.205971993231287,13
2036,4118007000,45.51476459261757,9.205109709436442,14
2314,4318007500,45.490241983602345,9.222250678752744,14
1907,4118006719,45.48416745066899,9.200344110157516,18
265,219011716,45.47790497272714,9.210802512301145,20
2629,4318007890,45.507459,9.185115,20
1153,3718005560,45.518199107966346,9.224902702601185,24
2239,4318007407,45.501167790263345,9.195992535146273,26
480,519011942,45.47701082661985,9.216852982457569,27
2882,5018009384,45.48203867282654,9.247303785142776,29
2402,4318007608,45.48637855494542,9.218234387006873,30
1899,4118006700,45.4841672,9.1955812,31
1822,4118006579,45.4957343614367,9.191996015860813,32
423,219011883,45.47076241570392,9.208532695894178,34
1729,4118006451,45.5066592,9.1975117,34
1615,3718006279,45.46998347938077,9.21598463553903,35
2762,4318008079,45.49228651379215,9.192962403247293,38
94,219010953,45.51232774509928,9.24152280416456,39
371,219011826,45.47477429999999,9.2105629,40
1454,3718006057,45.48982698418544,9.20075300971439,42
2055,4118007022,45.488774316790675,9.190992552219997,44
38,119010885,45.5064186,9.2371724,46
463,219011925,45.4748099,9.2210424,47
1979,4118006925,45.48640212668874,9.244632555779276,47
2617,4318007870,45.48372539450371,9.187072843245687,48
1357,3718005917,45.47146002699211,9.213322808359068,50
2037,4118007001,45.489746132686605,9.201435142221273,51
2308,4318007493,45.46915577282735,9.208560553956543,52
992,1419015268,45.477701813452384,9.225791262520488,53
2484,4318007707,45.474368278232184,9.234338967171198,53
1519,3718006166,45.48536305029974,9.208912896456807,53
2729,4318008024,45.5177447217365,9.193722567631882,55
951,1419015172,45.4778731887885,9.224438312494952,55
2326,4318007513,45.47423402159746,9.229737601253989,56
2668,4318007957,45.51737773648836,9.193806584942195,56
1819,4118006575,45.5106377,9.191659800000002,57
1608,3718006272,45.49140519813714,9.18392911759588,58
2131,4118007106,45.49526007920897,9.183192105351507,59
3113,5018010095,45.4802052,9.2266642,60
1570,3718006221,45.49326454753949,9.216489955592124,60
502,519011965,45.473186,9.217806,61
271,219011722,45.47665872097296,9.214739652909088,62
2746,4318008054,45.4919053,9.1823317,63
3088,5018009824,45.508788451204786,9.255842341578727,64
1069,3718005440,45.469329720818656,9.21705238862205,65
3069,5018009703,45.479264351667176,9.229635769914921,65
839,1219014645,45.47477219503403,9.204654835016527,66
267,219011718,45.47789883196583,9.210690846918737,66
84,219010943,45.50133235599011,9.24251667711212,66
1732,4118006456,45.4817259,9.2448197,66
2743,4318008045,45.49021049669342,9.181120550599758,67
1718,4118006435,45.5073021,9.198536099999998,68
3058,5018009683,45.50840543702111,9.267090529454435,68
3078,5018009814,45.50627175232889,9.250338922507352,69
1713,4118006426,45.5066971,9.1939816,69
2620,4318007875,45.501117917570745,9.19574613310715,70
406,219011863,45.47001405226036,9.217069625093472,70
984,1419015259,45.4774924,9.2257963,70
