,Unnamed: 0,bin_serial,row_id,id,bin_level,occluded,created_at,detected_at,raw_data_id,raw_data_setting_id,Seriale,DataUltimaRilevazione,DataUltimaTrasmissione,DataPrimaInstallazione,Esterno,Latitudine,Longitudine,Indirizzo,Cap,UnitaTerritoriale,Viario,Tronco,AreaGestionale,TipoAnomalia,to_visit,date,hour,Cluster_labels,Silhouette
0,0,119010133,682,15215101,4,1,2019-09-06 10:41:11,2019-09-06 10:41:07,259858832,21,119010133,2019-04-11 11:27:20,2019-04-11 11:42:20,2019-08-03 07:37:34,Si,45.475771325512106,9.223805763673113,VIALE ROMAGNA 60,20133,1 - OLGETTINA,3102.0,210.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,9,0.356124559333031
1,1,119010137,1493,15197040,4,1,2019-09-06 06:28:37,2019-09-06 06:28:35,259672420,21,119010137,2019-04-11 09:16:02,2019-04-11 12:01:37,2019-08-03 07:36:05,Si,45.475586299999996,9.2239964,VIALE ROMAGNA,20133,1 - OLGETTINA,3102.0,211.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,6,9,0.34298293690380044
2,2,119010245,2731,15216278,4,1,2019-09-06 10:58:37,2019-09-06 10:58:34,259871692,21,119010245,2019-04-11 10:29:47,2019-04-11 12:00:03,2019-04-18 07:23:37,Si,45.47946011139743,9.235383953813084,VIA CLERICETTI CELESTE 38,20133,1 - OLGETTINA,2221.0,5.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,14,0.12368786227595135
3,3,119010255,3222,15214287,2,2,2019-09-06 10:28:53,2019-09-06 10:28:52,259849878,21,119010255,2019-04-11 11:30:17,2019-04-11 11:30:17,2019-04-17 08:12:51,Si,45.51743130039819,9.225976688987998,VIALE MONZA 315,20126,1 - OLGETTINA,2274.0,120.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,10,16,0.6437928114281398
4,4,119010256,3512,15215293,3,1,2019-09-06 10:44:11,2019-09-06 10:44:05,259861088,21,119010256,2019-04-11 09:15:19,2019-04-11 11:45:45,2019-04-18 07:39:30,Si,45.48437650745299,9.236505957268491,PIAZZA BOTTINI ENRICO,20133,1 - OLGETTINA,2572.0,22.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,14,0.4688651444729125
5,5,119010258,4021,15207914,4,1,2019-09-06 09:04:57,2019-09-06 09:04:54,259788064,21,119010258,2019-04-11 09:20:45,2019-04-11 11:36:06,2019-04-18 07:32:07,Si,45.484212447609465,9.236221346508387,PIAZZA BOTTINI ENRICO 4,20133,1 - OLGETTINA,2572.0,15.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,14,0.48049195701495656
6,6,119010277,4543,15210064,4,1,2019-09-06 09:28:52,2019-09-06 09:28:49,259805667,21,119010277,2019-04-11 12:00:17,2019-04-11 12:00:17,2019-04-18 08:55:03,Si,45.473435525074905,9.230480336576989,VIA STRAMBIO GAETANO 10,20133,1 - OLGETTINA,3168.0,12.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,3,0.48239156637566216
7,7,119010870,5895,15212595,4,1,2019-09-06 10:01:44,2019-09-06 10:01:41,259829957,21,119010870,2019-03-11 12:33:27,2019-04-11 12:03:15,2019-06-03 08:26:28,Si,45.507655299999996,9.2366652,VIA PONTE NUOVO 40,20128,1 - OLGETTINA,2494.0,50.0,20 - PADOVA - ADRIANO,,1,20190906,10,5,0.3804184267853561
8,8,119010873,6873,15215713,3,1,2019-09-06 10:50:37,2019-09-06 10:50:34,259865876,21,119010873,2019-04-11 11:51:39,2019-04-11 11:51:39,2019-06-03 10:16:31,Si,45.51255820000001,9.229107699999998,VIA DON PORRO CARLO 23,20128,1 - OLGETTINA,2599.0,5.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,10,16,0.45912741685794484
9,9,119010877,7202,15203579,4,1,2019-09-06 08:12:48,2019-09-06 08:12:47,259749645,21,119010877,2019-04-11 11:44:03,2019-04-11 11:44:03,2019-06-03 09:09:01,Si,45.5063343,9.226065400000001,VIA STEFANARDO DA VIMERCATE,20128,1 - OLGETTINA,2456.0,20.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,8,0,0.3532291752041111
10,10,119010878,7587,15201947,4,2,2019-09-06 07:52:02,2019-09-06 07:36:56,259734241,21,119010878,2019-08-10 14:53:47,2019-09-10 06:22:33,2019-06-03 08:13:17,Si,45.505207500000004,9.2378344,VIA PONTE NUOVO,20128,1 - OLGETTINA,2494.0,20.0,20 - PADOVA - ADRIANO,ANOMALIA TX,1,20190906,7,5,0.5160417068127982
11,11,119010884,8972,15203566,4,1,2019-09-06 08:12:44,2019-09-06 08:12:38,259749531,21,119010884,2019-04-11 11:14:13,2019-04-11 11:44:18,2019-06-03 09:45:01,Si,45.5135534,9.234003999999999,VIA PONTE NUOVO,20128,1 - OLGETTINA,2494.0,56.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,8,16,0.23486382004033218
12,12,119010889,9286,15217097,4,2,2019-09-06 11:11:12,2019-09-06 10:56:11,259880925,21,119010889,2019-03-11 13:42:38,2019-04-11 11:42:20,2019-06-03 10:06:35,Si,45.510765,9.229656199999999,VIA DON PORRO CARLO 1,20128,1 - OLGETTINA,2599.0,10.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,10,16,0.3001407368339699
13,13,119010892,10177,15209562,4,1,2019-09-06 09:23:15,2019-09-06 09:08:12,259801544,21,119010892,2019-04-11 06:43:12,2019-04-11 11:54:56,2019-06-03 09:47:23,Si,45.5144764,9.232183099999999,VIA TREMELLONI ROBERTO,20128,1 - OLGETTINA,2645.0,65.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,9,16,0.424676943392489
14,14,119010897,11401,15191374,4,1,2019-09-06 04:01:41,2019-09-06 04:01:36,259562909,21,119010897,2019-04-11 10:38:45,2019-04-11 11:38:59,2019-06-03 10:02:04,Si,45.5124475,9.227643400000002,VIA DON BIGIOGERA ROBERTO 1,20128,1 - OLGETTINA,2714.0,41.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,4,16,0.4804385306471424
15,15,119010899,11787,15211050,4,1,2019-09-06 09:39:07,2019-09-06 09:39:04,259813175,21,119010899,2019-04-11 11:23:26,2019-04-11 11:38:26,2019-06-03 08:28:59,Si,45.5079877,9.2365153,VIA PONTE NUOVO 42,20128,1 - OLGETTINA,2494.0,60.0,20 - PADOVA - ADRIANO,,1,20190906,9,5,0.35953520702020925
16,16,119010908,13355,15192220,4,2,2019-09-06 04:34:46,2019-09-06 04:34:45,259587625,21,119010908,2019-04-11 09:17:58,2019-04-11 12:03:22,2019-06-03 07:56:09,Si,45.504828,9.2340951,VIA FALCONI ARMANDO 8,20128,1 - OLGETTINA,2489.0,5.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,4,5,0.3908331546754011
17,17,119010910,13874,15209972,3,1,2019-09-06 09:27:58,2019-09-06 09:12:57,259805060,21,119010910,2019-04-11 11:29:10,2019-04-11 11:59:14,2019-06-03 09:54:22,Si,45.5140824,9.229847900000001,VIA TREMELLONI ROBERTO 10,20128,1 - OLGETTINA,2645.0,35.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,9,16,0.5153371370244394
18,18,119010916,14325,15195685,4,1,2019-09-06 06:00:40,2019-09-06 06:00:39,259651702,21,119010916,2019-03-11 09:19:06,2019-03-11 10:28:16,2019-07-03 09:23:07,Si,45.50892587284454,9.248593265828164,VIA SANTA MARIA ROSSA 9,20132,1 - OLGETTINA,2527.0,5.0,20 - PADOVA - ADRIANO,,1,20190906,6,18,0.6009453921260847
19,19,119010923,15522,15200851,4,2,2019-09-06 07:36:15,2019-09-06 07:36:11,259722446,21,119010923,2019-03-11 13:53:27,2019-04-11 11:38:04,2019-08-03 08:01:08,Si,45.50360615096514,9.243338406539351,VIA BRESCIANI TURRONI COSTAN 2,20132,1 - OLGETTINA,2623.0,5.0,20 - PADOVA - ADRIANO,,1,20190906,7,5,0.17676300348649
20,20,119010926,16157,15192156,4,1,2019-09-06 04:32:45,2019-09-06 04:17:42,259586100,21,119010926,2019-10-16 19:12:23,2019-10-22 11:24:14,2019-07-03 09:08:22,Si,45.50974584247695,9.247445152311117,VIA AMALFI 2,20128,1 - OLGETTINA,2506.0,5.0,20 - PADOVA - ADRIANO,ANOMALIA TX,1,20190906,4,18,0.6171655190133314
21,21,219010931,17036,15200533,4,2,2019-09-06 07:31:17,2019-09-06 07:31:12,259718760,21,219010931,2019-04-11 10:03:35,2019-04-11 12:03:59,2019-07-03 08:56:36,Si,45.50910962770823,9.244213985945409,VIA MEUCCI ANTONIO 35,20128,1 - OLGETTINA,2497.0,5.0,20 - PADOVA - ADRIANO,,1,20190906,7,18,0.46127213346043144
22,22,219010935,17835,15189572,4,1,2019-09-06 02:08:50,2019-09-06 01:53:48,259478179,21,219010935,2019-04-11 09:06:59,2019-04-11 11:37:27,2019-08-03 08:11:00,Si,45.508133888503494,9.247226318054004,VIA GIULIETTI GIUSEPPE MARIA 8,20132,1 - OLGETTINA,2525.0,20.0,20 - PADOVA - ADRIANO,,1,20190906,1,18,0.5670979097606154
23,23,219010936,18053,15205382,4,1,2019-09-06 08:35:07,2019-09-06 08:20:04,259766079,21,219010936,2019-04-11 10:21:42,2019-04-11 11:36:51,2019-07-03 08:34:06,Si,45.51049743428874,9.243625320813864,VIA DEL RICORDO 20,20128,1 - OLGETTINA,2496.0,15.0,20 - PADOVA - ADRIANO,,1,20190906,8,18,0.46761470994565696
24,24,219010944,19184,15215086,4,1,2019-09-06 10:40:47,2019-09-06 10:40:46,259858538,21,219010944,2019-04-11 10:42:28,2019-04-11 11:42:38,2019-09-03 10:03:52,Si,45.471815509081146,9.232390411822394,VIA VISCONTI D'ARAGONA ALESSANDRO 19,20133,1 - OLGETTINA,3229.0,1.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,3,0.6111821773116622
25,25,219011009,22220,15206148,4,1,2019-09-06 08:45:25,2019-09-06 08:45:21,259773706,21,219011009,2019-02-10 09:45:42,2019-04-10 06:20:04,2019-11-03 08:11:05,Si,45.49944347404189,9.24189603446257,VIA CALABRIA DON GIOVANNI,20132,1 - OLGETTINA,2524.0,15.0,21 - PARCO LAMBRO - CIMIANO,ANOMALIA TX,1,20190906,8,5,0.5099513902190127
26,26,219011016,23184,15210698,4,1,2019-09-06 09:35:00,2019-09-06 09:34:59,259810207,21,219011016,2019-04-11 11:06:26,2019-04-11 11:36:33,2019-12-03 08:30:37,Si,45.4764079,9.2301865,VIA PONZIO GIUSEPPE,20133,1 - OLGETTINA,2585.0,10.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,3,0.09395365851345792
27,27,219011021,23613,15213030,4,1,2019-09-06 10:08:34,2019-09-06 10:08:33,259834939,21,219011021,2019-04-11 09:09:19,2019-04-11 11:39:52,2019-12-03 09:04:02,Si,45.47857617193017,9.234735671658427,VIA PASCAL CARLO 35,20133,1 - OLGETTINA,2225.0,10.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,3,0.04059547874175461
28,28,219011022,23858,15213149,4,1,2019-09-06 10:10:29,2019-09-06 10:10:28,259836335,21,219011022,2019-02-11 20:54:11,2019-04-11 11:42:02,2019-11-03 08:29:23,Si,45.49898708157082,9.243046439955377,VIA PUSIANO,20132,1 - OLGETTINA,2397.0,58.0,21 - PARCO LAMBRO - CIMIANO,,1,20190906,10,5,0.4309366466824634
29,29,219011023,24250,15214908,4,1,2019-09-06 10:38:10,2019-09-06 10:23:08,259856666,21,219011023,2019-03-11 10:09:46,2019-04-11 11:40:09,2019-11-03 08:01:04,Si,45.49261370000001,9.2379754,VIA MONFALCONE 14,20132,1 - OLGETTINA,2538.0,15.0,21 - PARCO LAMBRO - CIMIANO,,1,20190906,10,14,0.2222238072851718
30,30,219011028,25282,15215716,4,1,2019-09-06 10:50:37,2019-09-06 10:50:36,259865914,21,219011028,2019-04-11 11:52:27,2019-04-11 11:52:27,2019-12-03 07:43:57,Si,45.49151725384759,9.249663766233652,VIA MORELL S. J. PADRE LODOVICO 2,20134,1 - OLGETTINA,2723.0,65.0,21 - PARCO LAMBRO - CIMIANO,,1,20190906,10,11,0.23985461336914876
31,31,219011029,25476,15216087,4,1,2019-09-06 10:55:42,2019-09-06 10:40:41,259869561,21,219011029,2019-03-11 08:47:11,2019-04-11 11:57:07,2019-09-03 09:49:54,Si,45.46973551950307,9.23505322036192,VIA AJACCIO 5,20133,1 - OLGETTINA,3246.0,220.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,3,0.611517454259662
32,32,219011034,26486,15207214,4,1,2019-09-06 08:58:37,2019-09-06 08:43:32,259783429,21,219011034,2019-04-11 09:14:42,2019-04-11 12:00:06,2019-11-03 08:12:29,Si,45.4995920560534,9.242105105914105,VIA CALABRIA DON GIOVANNI 19,20132,1 - OLGETTINA,2524.0,15.0,21 - PARCO LAMBRO - CIMIANO,,1,20190906,8,5,0.4958224000257947
33,33,219011037,26921,15202058,4,2,2019-09-06 07:53:19,2019-09-06 07:53:17,259735222,21,219011037,2019-02-11 15:40:49,2019-04-11 11:55:15,2019-12-03 08:18:32,Si,45.47296783344937,9.230443332167622,PIAZZALE GORINI PAOLO 8,20133,1 - OLGETTINA,3170.0,50.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,7,3,0.5153904247773705
34,34,219011040,27669,15212606,4,1,2019-09-06 10:01:53,2019-09-06 10:01:51,259830079,21,219011040,2019-02-11 18:04:36,2019-04-11 10:33:10,2019-12-03 08:56:36,Si,45.47681135126372,9.236512472567256,VIA VALVASSORI PERONI CARLO,20133,1 - OLGETTINA,2580.0,10.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,3,0.2403807261300957
35,35,219011045,28817,15212412,4,1,2019-09-06 09:58:31,2019-09-06 09:43:27,259827558,21,219011045,2019-02-11 01:57:57,2019-04-11 12:00:09,2019-09-03 10:30:05,Si,45.4804559,9.2342485,VIA BASSINI EDOARDO 35,20133,1 - OLGETTINA,2587.0,40.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,14,0.24612539313003431
